mes,dias_al_mes,anio,fecha,Qingresa_m3ps
10,31,1926,10/31/1926,5.20
11,30,1926,11/30/1926,23.50
12,31,1926,12/31/1926,54.90
1,31,1927,1/31/1927,84.80
2,28,1927,2/28/1927,28.90
3,31,1927,3/31/1927,82.90
4,30,1927,4/30/1927,29.70
5,31,1927,5/31/1927,25.70
6,30,1927,6/30/1927,13.90
7,31,1927,7/31/1927,8.60
8,31,1927,8/31/1927,12.70
9,30,1927,9/30/1927,6.90
10,31,1927,10/31/1927,10.50
11,30,1927,11/30/1927,18.50
12,31,1927,12/31/1927,35.10
1,31,1928,1/31/1928,28.40
2,28,1928,2/28/1928,74.20
3,31,1928,3/31/1928,46.30
4,30,1928,4/30/1928,19.70
5,31,1928,5/31/1928,79.90
6,30,1928,6/30/1928,31.60
7,31,1928,7/31/1928,13.40
8,31,1928,8/31/1928,10.10
9,30,1928,9/30/1928,24.70
10,31,1928,10/31/1928,76.90
11,30,1928,11/30/1928,154.30
12,31,1928,12/31/1928,102.70
1,31,1929,1/31/1929,123.20
2,28,1929,2/28/1929,28.10
3,31,1929,3/31/1929,34.30
4,30,1929,4/30/1929,18.50
5,31,1929,5/31/1929,8.60
6,30,1929,6/30/1929,6.60
7,31,1929,7/31/1929,6.00
8,31,1929,8/31/1929,3.70
9,30,1929,9/30/1929,4.20
10,31,1929,10/31/1929,4.90
11,30,1929,11/30/1929,14.70
12,31,1929,12/31/1929,9.00
1,31,1930,1/31/1930,14.60
2,28,1930,2/28/1930,46.30
3,31,1930,3/31/1930,19.80
4,30,1930,4/30/1930,48.60
5,31,1930,5/31/1930,33.60
6,30,1930,6/30/1930,15.00
7,31,1930,7/31/1930,10.50
8,31,1930,8/31/1930,9.70
9,30,1930,9/30/1930,12.70
10,31,1930,10/31/1930,34.30
11,30,1930,11/30/1930,106.50
12,31,1930,12/31/1930,45.90
1,31,1931,1/31/1931,134.80
2,28,1931,2/28/1931,203.80
3,31,1931,3/31/1931,57.50
4,30,1931,4/30/1931,23.90
5,31,1931,5/31/1931,22.40
6,30,1931,6/30/1931,15.80
7,31,1931,7/31/1931,13.80
8,31,1931,8/31/1931,11.20
9,30,1931,9/30/1931,5.80
10,31,1931,10/31/1931,17.90
11,30,1931,11/30/1931,58.60
12,31,1931,12/31/1931,57.90
1,31,1932,1/31/1932,96.70
2,28,1932,2/28/1932,63.50
3,31,1932,3/31/1932,29.10
4,30,1932,4/30/1932,69.40
5,31,1932,5/31/1932,32.50
6,30,1932,6/30/1932,18.50
7,31,1932,7/31/1932,10.10
8,31,1932,8/31/1932,8.20
9,30,1932,9/30/1932,5.40
10,31,1932,10/31/1932,23.90
11,30,1932,11/30/1932,88.30
12,31,1932,12/31/1932,68.30
1,31,1933,1/31/1933,31.00
2,28,1933,2/28/1933,55.40
3,31,1933,3/31/1933,42.20
4,30,1933,4/30/1933,17.00
5,31,1933,5/31/1933,9.00
6,30,1933,6/30/1933,6.20
7,31,1933,7/31/1933,4.50
8,31,1933,8/31/1933,1.90
9,30,1933,9/30/1933,14.70
10,31,1933,10/31/1933,13.40
11,30,1933,11/30/1933,7.30
12,31,1933,12/31/1933,30.60
1,31,1934,1/31/1934,41.00
2,28,1934,2/28/1934,22.00
3,31,1934,3/31/1934,89.50
4,30,1934,4/30/1934,30.50
5,31,1934,5/31/1934,19.50
6,30,1934,6/30/1934,11.00
7,31,1934,7/31/1934,5.50
8,31,1934,8/31/1934,4.00
9,30,1934,9/30/1934,12.00
10,31,1934,10/31/1934,23.00
11,30,1934,11/30/1934,48.00
12,31,1934,12/31/1934,56.00
1,31,1935,1/31/1935,90.50
2,28,1935,2/28/1935,19.00
3,31,1935,3/31/1935,21.50
4,30,1935,4/30/1935,6.50
5,31,1935,5/31/1935,3.00
6,30,1935,6/30/1935,3.00
7,31,1935,7/31/1935,3.00
8,31,1935,8/31/1935,2.00
9,30,1935,9/30/1935,2.00
10,31,1935,10/31/1935,8.50
11,30,1935,11/30/1935,9.00
12,31,1935,12/31/1935,16.50
1,31,1936,1/31/1936,19.50
2,28,1936,2/28/1936,28.00
3,31,1936,3/31/1936,18.50
4,30,1936,4/30/1936,41.50
5,31,1936,5/31/1936,29.00
6,30,1936,6/30/1936,13.00
7,31,1936,7/31/1936,10.00
8,31,1936,8/31/1936,7.00
9,30,1936,9/30/1936,6.00
10,31,1936,10/31/1936,6.50
11,30,1936,11/30/1936,54.50
12,31,1936,12/31/1936,48.50
1,31,1937,1/31/1937,43.50
2,28,1937,2/28/1937,42.50
3,31,1937,3/31/1937,28.00
4,30,1937,4/30/1937,12.50
5,31,1937,5/31/1937,10.00
6,30,1937,6/30/1937,8.50
7,31,1937,7/31/1937,4.50
8,31,1937,8/31/1937,2.50
9,30,1937,9/30/1937,7.00
10,31,1937,10/31/1937,2.50
11,30,1937,11/30/1937,4.00
12,31,1937,12/31/1937,3.50
1,31,1938,1/31/1938,2.50
2,28,1938,2/28/1938,19.00
3,31,1938,3/31/1938,17.00
4,30,1938,4/30/1938,36.00
5,31,1938,5/31/1938,26.00
6,30,1938,6/30/1938,7.50
7,31,1938,7/31/1938,7.00
8,31,1938,8/31/1938,5.50
9,30,1938,9/30/1938,4.00
10,31,1938,10/31/1938,3.50
11,30,1938,11/30/1938,17.50
12,31,1938,12/31/1938,4.50
1,31,1939,1/31/1939,65.00
2,28,1939,2/28/1939,38.00
3,31,1939,3/31/1939,32.00
4,30,1939,4/30/1939,16.50
5,31,1939,5/31/1939,7.00
6,30,1939,6/30/1939,5.00
7,31,1939,7/31/1939,2.50
8,31,1939,8/31/1939,2.00
9,30,1939,9/30/1939,5.00
10,31,1939,10/31/1939,77.50
11,30,1939,11/30/1939,35.00
12,31,1939,12/31/1939,90.50
1,31,1940,1/31/1940,73.00
2,28,1940,2/28/1940,59.50
3,31,1940,3/31/1940,25.50
4,30,1940,4/30/1940,20.60
5,31,1940,5/31/1940,11.50
6,30,1940,6/30/1940,5.00
7,31,1940,7/31/1940,4.50
8,31,1940,8/31/1940,5.00
9,30,1940,9/30/1940,9.50
10,31,1940,10/31/1940,17.50
11,30,1940,11/30/1940,19.00
12,31,1940,12/31/1940,66.00
1,31,1941,1/31/1941,32.00
2,28,1941,2/28/1941,19.50
3,31,1941,3/31/1941,101.00
4,30,1941,4/30/1941,31.50
5,31,1941,5/31/1941,22.50
6,30,1941,6/30/1941,16.00
7,31,1941,7/31/1941,9.50
8,31,1941,8/31/1941,6.50
9,30,1941,9/30/1941,6.50
10,31,1941,10/31/1941,4.50
11,30,1941,11/30/1941,7.50
12,31,1941,12/31/1941,23.00
1,31,1942,1/31/1942,50.50
2,28,1942,2/28/1942,44.00
3,31,1942,3/31/1942,14.50
4,30,1942,4/30/1942,22.00
5,31,1942,5/31/1942,8.50
6,30,1942,6/30/1942,8.50
7,31,1942,7/31/1942,6.50
8,31,1942,8/31/1942,3.50
9,30,1942,9/30/1942,3.00
10,31,1942,10/31/1942,3.00
11,30,1942,11/30/1942,24.00
12,31,1942,12/31/1942,16.50
1,31,1943,1/31/1943,14.50
2,28,1943,2/28/1943,13.50
3,31,1943,3/31/1943,34.50
4,30,1943,4/30/1943,13.00
5,31,1943,5/31/1943,33.00
6,30,1943,6/30/1943,12.50
7,31,1943,7/31/1943,26.00
8,31,1943,8/31/1943,17.50
9,30,1943,9/30/1943,12.50
10,31,1943,10/31/1943,76.00
11,30,1943,11/30/1943,89.00
12,31,1943,12/31/1943,45.70
1,31,1944,1/31/1944,129.50
2,28,1944,2/28/1944,57.50
3,31,1944,3/31/1944,45.50
4,30,1944,4/30/1944,40.50
5,31,1944,5/31/1944,15.00
6,30,1944,6/30/1944,8.00
7,31,1944,7/31/1944,6.00
8,31,1944,8/31/1944,4.00
9,30,1944,9/30/1944,4.00
10,31,1944,10/31/1944,22.00
11,30,1944,11/30/1944,17.50
12,31,1944,12/31/1944,13.00
1,31,1945,1/31/1945,12.50
2,28,1945,2/28/1945,24.00
3,31,1945,3/31/1945,23.50
4,30,1945,4/30/1945,9.50
5,31,1945,5/31/1945,9.00
6,30,1945,6/30/1945,4.00
7,31,1945,7/31/1945,2.00
8,31,1945,8/31/1945,3.00
9,30,1945,9/30/1945,7.00
10,31,1945,10/31/1945,7.00
11,30,1945,11/30/1945,4.00
12,31,1945,12/31/1945,50.00
1,31,1946,1/31/1946,13.50
2,28,1946,2/28/1946,12.50
3,31,1946,3/31/1946,10.50
4,30,1946,4/30/1946,22.50
5,31,1946,5/31/1946,9.00
6,30,1946,6/30/1946,8.50
7,31,1946,7/31/1946,6.00
8,31,1946,8/31/1946,4.50
9,30,1946,9/30/1946,2.50
10,31,1946,10/31/1946,11.00
11,30,1946,11/30/1946,31.50
12,31,1946,12/31/1946,23.00
1,31,1947,1/31/1947,32.90
2,28,1947,2/28/1947,36.50
3,31,1947,3/31/1947,43.60
4,30,1947,4/30/1947,33.80
5,31,1947,5/31/1947,15.20
6,30,1947,6/30/1947,7.50
7,31,1947,7/31/1947,4.20
8,31,1947,8/31/1947,4.00
9,30,1947,9/30/1947,11.20
10,31,1947,10/31/1947,12.90
11,30,1947,11/30/1947,26.50
12,31,1947,12/31/1947,13.20
1,31,1948,1/31/1948,33.30
2,28,1948,2/28/1948,40.40
3,31,1948,3/31/1948,122.20
4,30,1948,4/30/1948,26.30
5,31,1948,5/31/1948,11.00
6,30,1948,6/30/1948,8.30
7,31,1948,7/31/1948,5.50
8,31,1948,8/31/1948,5.50
