,Codigo,dia,mes,anio,Temperatura_[Celsius]_x,HumedadRel_[porc],Presion_[hPa],DireccionViento_[grad],VelocidadViento_[KpH]_x,RadiacionSolar_[WpM2],Lluvia_[mm],RafagaViento_[KpH],SenialGPRS_[ASU],NivelBateria_[V]
2018-08-15 13:00:00,30234,15,8.0,2018.0,18.61,23.04,945.625,90.0,3.15833,454.27950000000004,0.0,6.97045,5.5,12.79365
2018-08-15 13:30:00,30234,15,8.0,2018.0,18.17,23.71666666666667,946.4583333333334,127.5,5.216943333333333,663.576,4.0,15.51,6.0,13.158733333333336
2018-08-15 14:00:00,30234,15,8.0,2018.0,18.826666666666668,22.263333333333332,944.7916666666666,67.5,4.606736666666667,644.929,0.0,14.504166666666668,6.0,13.172933333333333
2018-08-15 14:30:00,30234,15,8.0,2018.0,19.026666666666667,22.583333333333332,943.9583333333334,90.0,4.52627,593.489,0.0,12.566256666666666,6.0,13.215466666666666
2018-08-15 15:00:00,30234,15,8.0,2018.0,19.150000000000002,21.816666666666663,943.9583333333334,90.0,0.0,599.276,0.0,0.0,6.0,13.229633333333332
2018-08-15 15:30:00,30234,15,8.0,2018.0,18.89,22.536666666666665,944.5833333333334,90.0,0.0,398.017,0.0,0.0,6.0,13.215433333333332
2018-08-15 16:00:00,30234,15,8.0,2018.0,19.14333333333333,22.78,944.375,75.0,4.49945,378.72700000000003,0.0,15.328966666666666,6.0,13.236699999999999
2018-08-15 16:30:00,30234,15,8.0,2018.0,19.243333333333336,22.643333333333334,944.5833333333334,75.0,6.115493333333333,357.50800000000004,4.2,15.6106,6.0,13.094933333333335
2018-08-15 17:00:00,30234,15,8.0,2018.0,18.73,23.55333333333333,944.5833333333334,75.0,6.155723333333333,309.926,0.0,19.204766666666668,6.0,13.045266666666668
2018-08-15 17:30:00,30234,15,8.0,2018.0,18.05666666666667,24.19333333333333,944.375,60.0,5.505283333333334,137.602,0.0,13.397746666666668,6.0,13.1233
2018-08-15 18:00:00,30234,15,8.0,2018.0,16.64,26.473333333333333,944.1666666666666,90.0,3.7752433333333335,67.515,0.0,8.871496666666667,6.0,12.946033333333332
2018-08-15 18:30:00,30234,15,8.0,2018.0,15.44,28.653333333333336,943.75,97.5,2.6084733333333334,26.363,0.0,2.6084733333333334,6.0,12.832566666666667
2018-08-15 19:00:00,30234,15,8.0,2018.0,13.853333333333333,31.590000000000003,943.125,82.5,0.9991316666666666,0.0,0.0,2.2597833333333335,6.0,12.7759
2018-08-15 19:30:00,30234,15,8.0,2018.0,11.68,36.88999999999999,944.375,120.0,1.072895,0.0,0.0,2.8632833333333334,6.0,12.733333333333334
2018-08-15 20:00:00,30234,15,8.0,2018.0,10.276666666666666,42.07999999999999,944.375,225.0,1.200298,0.0,0.0,3.5003166666666665,6.0,12.712100000000001
2018-08-15 20:30:00,30234,15,8.0,2018.0,9.363333333333335,44.24333333333333,944.7916666666666,187.5,1.4148786666666666,0.0,0.0,2.863282,6.0,12.690800000000001
2018-08-15 21:00:00,30234,15,8.0,2018.0,8.1,47.85,945.4166666666666,22.5,1.7032166666666668,0.0,0.0,3.76183,6.0,12.669533333333334
2018-08-15 21:30:00,30234,15,8.0,2018.0,6.726666666666667,51.333333333333336,945.2083333333334,30.0,2.0250866666666667,0.0,0.0,3.2924399999999996,6.0,12.6554
2018-08-15 22:00:00,30234,15,8.0,2018.0,5.406666666666667,56.080000000000005,944.7916666666666,112.5,2.051906666666667,0.0,0.0,3.3460866666666664,6.0,12.634099999999998
2018-08-15 22:30:00,30234,15,8.0,2018.0,4.213333333333334,60.02333333333333,945.4166666666666,337.5,1.931206666666667,0.0,0.0,3.0175133333333335,6.0,12.627
2018-08-15 23:00:00,30234,15,8.0,2018.0,3.2099999999999995,64.08999999999999,945.625,337.5,1.7568633333333334,0.0,0.0,3.0644533333333333,6.0,12.605699999999999
2018-08-15 23:30:00,30234,15,8.0,2018.0,2.606666666666667,67.36333333333333,945.0,337.5,2.17261,0.0,0.0,3.8825333333333334,6.0,12.591500000000002
2018-08-16 00:00:00,30234,16,8.0,2018.0,2.183333333333333,69.46,945.8333333333334,195.0,1.4349966666666667,0.0,0.0,3.31926,6.0,12.570299999999998
2018-08-16 00:30:00,30234,16,8.0,2018.0,1.4633333333333332,74.02666666666666,945.2083333333334,285.0,1.04607,0.0,0.0,2.6285866666666666,6.0,12.5561
2018-08-16 01:00:00,30234,16,8.0,2018.0,1.4833333333333334,74.71,945.0,292.5,1.1198323333333333,0.0,0.0,2.7291733333333332,6.0,12.549000000000001
2018-08-16 01:30:00,30234,16,8.0,2018.0,1.5333333333333334,74.41333333333334,944.7916666666666,292.5,0.730908,0.0,0.0,1.542283,6.0,12.527700000000001
2018-08-16 02:00:00,30234,16,8.0,2018.0,1.8266666666666664,73.14,944.5833333333334,60.0,0.704087,0.0,0.0,2.8565766666666668,6.0,12.527700000000001
2018-08-16 02:30:00,30234,16,8.0,2018.0,1.2033333333333334,74.14999999999999,944.375,0.0,1.0594810000000001,0.0,0.0,1.8641499999999998,6.0,12.5065
2018-08-16 03:00:00,30234,16,8.0,2018.0,0.35000000000000003,77.64333333333333,944.375,225.0,1.4282899999999998,0.0,0.0,2.6956466666666667,6.0,12.499400000000001
2018-08-16 03:30:00,30234,16,8.0,2018.0,-0.1466666666666667,81.28666666666668,944.375,337.5,1.321,0.0,0.0,2.50789,6.0,12.4852
2018-08-16 04:00:00,30234,16,8.0,2018.0,-0.41333333333333333,82.76333333333334,944.1666666666666,330.0,1.59593,0.0,0.0,3.0242166666666663,6.0,12.4639
